Gene_ID	Gene_Name	TSS_ID	TSS_Locus	Strand	Max_Expr	RE_Locus	Max_Hist	Distance	Closest_Locus	Closest_TSS	Histone	Correlation	Correlation_P_Value	Distance_P_Value	CnD_P_Value	Q_Value
ENSG00000160209.12	PDXK	ENST00000468090.1	chr21:45138978-45138978	+	91.51	chr21:44860419-44861441	21.06	-277537	F	F	H3k27ac	0.94313	1.927e-03	5.555e-01	8.391e-03	5.751e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44753165-44753648	18.69	93360	F	F	H3k27ac	0.86610	1.995e-03	1.871e-01	3.320e-03	3.930e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44764160-44764667	7.42	82341	F	F	H3k27ac	0.91845	1.995e-03	1.651e-01	2.970e-03	3.564e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44917912-44918451	14.10	-70904	F	F	H3k27ac	0.90352	1.995e-03	1.423e-01	2.602e-03	3.300e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:45059582-45060121	4.18	-212574	F	F	H3k27ac	0.90466	1.995e-03	4.255e-01	6.851e-03	5.383e-01
ENSG00000160214.6	RRP1	ENST00000291569.5	chr21:45209446-45209446	+	150.09	chr21:45010043-45010582	2.39	-198864	F	F	H3k27ac	-0.91283	1.995e-03	3.981e-01	6.463e-03	5.303e-01
ENSG00000160214.6	RRP1	ENST00000291569.5	chr21:45209446-45209446	+	150.09	chr21:45011428-45011967	4.34	-197479	F	F	H3k27ac	-0.90623	1.995e-03	3.953e-01	6.423e-03	5.303e-01
ENSG00000160214.6	RRP1	ENST00000291569.5	chr21:45209446-45209446	+	150.09	chr21:45029623-45029781	17.91	-179665	F	F	H3k27ac	-0.89420	1.995e-03	3.594e-01	5.909e-03	5.303e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44848098-44848369	33.68	-300412	F	F	H3k27ac	-0.88022	1.995e-03	6.009e-01	9.263e-03	5.751e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:45066431-45066634	21.17	-82147	F	F	H3k27ac	-0.90506	1.995e-03	1.645e-01	2.960e-03	3.564e-01
ENSG00000197381.9	ADARB1	ENST00000327861.6	chr21:46494484-46494484	+	12.87	chr21:46470640-46471179	10.42	-23305	F	F	H3k27ac	0.87886	1.995e-03	4.712e-02	9.657e-04	2.465e-01
ENSG00000184809.8	C21orf88	ENST00000329618.6	chr21:40984748-40984748	-	12.05	chr21:40685346-40685885	38.40	298863	F	F	H3k27ac	-0.88670	1.995e-03	5.979e-01	9.223e-03	5.751e-01
ENSG00000160221.10	C21orf33	ENST00000348499.5	chr21:45553562-45553562	+	40.27	chr21:45066431-45066634	21.17	-486928	F	F	H3k27ac	-0.88894	1.995e-03	9.739e-01	1.407e-02	6.215e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43135735-43136274	27.31	50992	F	F	H3k27ac	0.87355	1.995e-03	1.025e-01	1.941e-03	3.191e-01
ENSG00000173638.12	SLC19A1	ENST00000380010.4	chr21:46962385-46962385	-	26.00	chr21:46739403-46739942	9.02	222443	F	F	H3k27ac	0.91552	1.995e-03	4.452e-01	7.128e-03	5.456e-01
ENSG00000173638.12	SLC19A1	ENST00000380010.4	chr21:46962385-46962385	-	26.00	chr21:46785643-46786182	37.12	176203	F	F	H3k27ac	0.87665	1.995e-03	3.528e-01	5.812e-03	5.303e-01
ENSG00000173638.12	SLC19A1	ENST00000380014.2	chr21:46962351-46962351	-	27.06	chr21:46739403-46739942	9.02	222409	F	F	H3k27ac	0.91655	1.995e-03	4.451e-01	7.128e-03	5.456e-01
ENSG00000173638.12	SLC19A1	ENST00000380014.2	chr21:46962351-46962351	-	27.06	chr21:46785643-46786182	37.12	176169	F	F	H3k27ac	0.88110	1.995e-03	3.527e-01	5.811e-03	5.303e-01
ENSG00000160209.12	PDXK	ENST00000398085.3	chr21:45139057-45139057	+	93.14	chr21:44860419-44861441	21.06	-277616	F	F	H3k27ac	0.86880	1.995e-03	5.557e-01	8.652e-03	5.751e-01
ENSG00000157551.11	KCNJ15	ENST00000398934.1	chr21:39644429-39644429	+	5.82	chr21:39355951-39356490	0.00	-287939	F	F	H3k27ac	0.92702	1.995e-03	5.761e-01	8.929e-03	5.751e-01
ENSG00000154639.14	CXADR	ENST00000400166.1	chr21:18885364-18885364	+	436.76	chr21:18899437-18899976	31.42	14073	T	F	H3k27ac	0.90004	1.995e-03	2.867e-02	6.159e-04	2.432e-01
ENSG00000160214.6	RRP1	ENST00000400387.3	chr21:45209457-45209457	+	151.00	chr21:45010043-45010582	2.39	-198875	F	F	H3k27ac	-0.91107	1.995e-03	3.981e-01	6.463e-03	5.303e-01
ENSG00000160214.6	RRP1	ENST00000400387.3	chr21:45209457-45209457	+	151.00	chr21:45011428-45011967	4.34	-197490	F	F	H3k27ac	-0.90432	1.995e-03	3.953e-01	6.423e-03	5.303e-01
ENSG00000160214.6	RRP1	ENST00000400387.3	chr21:45209457-45209457	+	151.00	chr21:45029623-45029781	17.91	-179676	F	F	H3k27ac	-0.89220	1.995e-03	3.595e-01	5.909e-03	5.303e-01
ENSG00000183255.6	PTTG1IP	ENST00000423073.2	chr21:46293650-46293650	-	249.00	chr21:46783931-46784285	16.11	-490281	F	F	H3k27ac	0.86290	1.995e-03	9.806e-01	1.416e-02	6.215e-01
ENSG00000230479.1	AP000695.6	ENST00000429588.1	chr21:37802658-37802658	+	57.14	chr21:37810040-37810579	15.64	7382	F	T	H3k27ac	0.86399	1.995e-03	1.529e-02	3.478e-04	2.369e-01
ENSG00000197381.9	ADARB1	ENST00000437626.1	chr21:46494515-46494515	+	14.50	chr21:46470640-46471179	10.42	-23336	F	F	H3k27ac	0.90412	1.995e-03	4.719e-02	9.668e-04	2.465e-01
ENSG00000197381.9	ADARB1	ENST00000437626.1	chr21:46494515-46494515	+	14.50	chr21:46470870-46471409	10.42	-23106	T	F	H3k27ac	0.86994	1.995e-03	4.673e-02	9.583e-04	2.465e-01
ENSG00000160216.11	AGPAT3	ENST00000448287.1	chr21:45287123-45287123	+	16.73	chr21:44884987-44885252	2.93	-401871	F	F	H3k27ac	0.92142	1.995e-03	8.038e-01	1.192e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000463355.1	chr21:45139028-45139028	+	116.89	chr21:44860419-44861441	21.06	-277587	F	F	H3k27ac	0.90457	1.995e-03	5.556e-01	8.651e-03	5.751e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44848098-44848369	33.68	-300425	F	F	H3k27ac	-0.86959	1.995e-03	6.010e-01	9.263e-03	5.751e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:45066431-45066634	21.17	-82160	F	F	H3k27ac	-0.90440	1.995e-03	1.645e-01	2.961e-03	3.564e-01
ENSG00000160209.12	PDXK	ENST00000476084.1	chr21:45139058-45139058	+	92.77	chr21:44860419-44861441	21.06	-277617	F	F	H3k27ac	0.86931	1.995e-03	5.557e-01	8.652e-03	5.751e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44848098-44848369	33.68	-300429	F	F	H3k27ac	-0.86369	1.995e-03	6.010e-01	9.263e-03	5.751e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:45066431-45066634	21.17	-82164	F	F	H3k27ac	-0.90442	1.995e-03	1.645e-01	2.961e-03	3.564e-01
ENSG00000159200.12	RCAN1	ENST00000481448.1	chr21:35899148-35899148	-	527.54	chr21:36184660-36185199	3.16	-285512	F	F	H3k27ac	0.92706	1.995e-03	5.713e-01	8.863e-03	5.751e-01
ENSG00000166979.8	C21orf63	ENST00000481638.1	chr21:33785072-33785072	+	6.31	chr21:33814787-33815326	6.75	29715	F	F	H3k27ac	0.89337	1.995e-03	5.994e-02	1.199e-03	2.907e-01
ENSG00000205581.6	HMGN1	ENST00000485550.1	chr21:40720523-40720523	-	32.24	chr21:40685346-40685885	38.40	34638	T	F	H3k27ac	-0.88328	1.995e-03	6.978e-02	1.375e-03	2.907e-01
ENSG00000197381.9	ADARB1	ENST00000539917.1	chr21:46494493-46494493	+	14.73	chr21:46470640-46471179	10.42	-23314	F	F	H3k27ac	0.89097	1.995e-03	4.714e-02	9.660e-04	2.465e-01
ENSG00000159200.12	RCAN1	ENST00000481448.1	chr21:35899148-35899148	-	527.54	chr21:35898945-35899484	35.12	0	T	T	H3k4me3	0.80452	2.452e-03	2.123e-01	4.457e-03	4.885e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44848098-44848369	33.68	1090	F	T	H3k4me3	0.78678	3.066e-03	1.000e+00	2.081e-02	7.003e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44839299-44839838	33.68	-7170	F	T	H3k4me3	0.75203	3.679e-03	1.000e+00	2.430e-02	7.414e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43188588-43189127	33.70	1322	T	T	H3k4me3	0.75008	3.679e-03	1.000e+00	2.430e-02	7.414e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43188588-43189127	33.70	-1322	T	T	H3k27ac	0.85432	3.739e-03	3.181e-03	1.468e-04	2.369e-01
ENSG00000197381.9	ADARB1	ENST00000539917.1	chr21:46494493-46494493	+	14.73	chr21:46470870-46471409	10.42	-23084	T	F	H3k27ac	0.85417	3.739e-03	4.668e-02	1.685e-03	3.028e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44753165-44753648	18.69	-395133	F	F	H3k27ac	-0.85066	3.773e-03	7.904e-01	2.032e-02	7.003e-01
ENSG00000160209.12	PDXK	ENST00000463355.1	chr21:45139028-45139028	+	116.89	chr21:44922978-44923355	15.45	-215673	F	F	H3k27ac	0.84924	3.773e-03	4.316e-01	1.208e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44914527-44914700	16.37	-234081	F	F	H3k27ac	-0.84479	3.876e-03	4.683e-01	1.327e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44936643-44937264	18.84	-211517	F	F	H3k27ac	-0.84413	3.876e-03	4.234e-01	1.216e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:45005897-45006413	23.97	-142368	F	F	H3k27ac	-0.84692	3.876e-03	2.851e-01	8.628e-03	5.751e-01
ENSG00000197381.9	ADARB1	ENST00000327861.6	chr21:46494484-46494484	+	12.87	chr21:46470870-46471409	10.42	-23075	T	F	H3k27ac	0.84071	3.876e-03	4.666e-02	1.740e-03	3.028e-01
ENSG00000160199.7	PKNOX1	ENST00000432907.2	chr21:44394751-44394751	+	14.76	chr21:44839299-44839838	33.68	444548	F	F	H3k27ac	0.84501	3.876e-03	8.892e-01	2.299e-02	7.212e-01
ENSG00000215386.5	C21orf34	ENST00000435697.1	chr21:17791752-17791752	+	9.78	chr21:17613837-17614376	12.94	-177376	F	F	H3k27ac	0.84236	3.876e-03	3.551e-01	1.044e-02	6.089e-01
ENSG00000188660.3	C21orf125	ENST00000448049.1	chr21:44866481-44866481	+	5.38	chr21:44762738-44763466	17.99	-103015	F	F	H3k27ac	0.84360	3.876e-03	2.066e-01	6.510e-03	5.303e-01
ENSG00000205581.6	HMGN1	ENST00000471260.1	chr21:40720546-40720546	-	32.35	chr21:40685346-40685885	38.40	34661	T	F	H3k27ac	-0.84116	3.876e-03	6.982e-02	2.494e-03	3.256e-01
ENSG00000205581.6	HMGN1	ENST00000482192.1	chr21:40720549-40720549	-	32.44	chr21:40685346-40685885	38.40	34664	T	F	H3k27ac	-0.84063	3.876e-03	6.983e-02	2.494e-03	3.256e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44897803-44898291	47.59	-250490	F	F	H3k27ac	-0.83352	3.910e-03	5.012e-01	1.418e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44897803-44898295	47.59	-250486	F	F	H3k27ac	-0.83271	3.910e-03	5.012e-01	1.418e-02	6.215e-01
ENSG00000184809.8	C21orf88	ENST00000329618.6	chr21:40984748-40984748	-	12.05	chr21:41005534-41006073	1.95	-20786	T	F	H3k27ac	0.83556	3.910e-03	4.209e-02	1.598e-03	3.028e-01
ENSG00000142192.13	APP	ENST00000346798.3	chr21:27542972-27542972	-	18.34	chr21:27512409-27512948	5.36	30024	F	F	H3k27ac	0.83306	3.910e-03	6.055e-02	2.213e-03	3.256e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43098487-43098869	18.89	88397	F	F	H3k27ac	0.83606	3.910e-03	1.771e-01	5.731e-03	5.303e-01
ENSG00000142192.13	APP	ENST00000354192.3	chr21:27543065-27543065	-	476.78	chr21:27512409-27512948	5.36	30117	F	F	H3k27ac	0.83547	3.910e-03	6.074e-02	2.220e-03	3.256e-01
ENSG00000142192.13	APP	ENST00000357903.3	chr21:27543105-27543105	-	446.54	chr21:27512409-27512948	5.36	30157	F	F	H3k27ac	0.83213	3.910e-03	6.082e-02	2.222e-03	3.256e-01
ENSG00000159079.12	C21orf59	ENST00000382549.4	chr21:33984896-33984896	-	213.74	chr21:33814787-33815326	6.75	169570	F	F	H3k27ac	-0.83512	3.910e-03	3.395e-01	1.012e-02	6.040e-01
ENSG00000157538.8	DSCR3	ENST00000399000.3	chr21:38640220-38640220	-	5.89	chr21:38255995-38256567	4.86	383653	F	F	H3k27ac	0.83953	3.910e-03	7.674e-01	2.043e-02	7.003e-01
ENSG00000142192.13	APP	ENST00000452232.2	chr21:27543085-27543085	-	470.48	chr21:27512409-27512948	5.36	30137	F	F	H3k27ac	0.83355	3.910e-03	6.078e-02	2.221e-03	3.256e-01
ENSG00000215386.5	C21orf34	ENST00000453910.1	chr21:17791838-17791838	+	10.60	chr21:17936130-17936429	11.58	144292	T	F	H3k27ac	0.83462	3.910e-03	2.888e-01	8.792e-03	5.751e-01
ENSG00000183036.6	PCP4	ENST00000468717.1	chr21:41239377-41239377	+	29.60	chr21:41005534-41006073	1.95	-233304	T	F	H3k27ac	0.83512	3.910e-03	4.669e-01	1.334e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44753165-44753648	18.69	-395146	F	F	H3k27ac	-0.83855	3.910e-03	7.904e-01	2.095e-02	7.003e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44914527-44914700	16.37	-234094	F	F	H3k27ac	-0.83842	3.910e-03	4.683e-01	1.337e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44936643-44937264	18.84	-211530	F	F	H3k27ac	-0.83137	3.910e-03	4.234e-01	1.226e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:45005897-45006413	23.97	-142381	F	F	H3k27ac	-0.83348	3.910e-03	2.851e-01	8.695e-03	5.751e-01
ENSG00000142192.13	APP	ENST00000474136.1	chr21:27543064-27543064	-	476.13	chr21:27512409-27512948	5.36	30116	F	F	H3k27ac	0.83619	3.910e-03	6.074e-02	2.219e-03	3.256e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44753165-44753648	18.69	-395150	F	F	H3k27ac	-0.83434	3.910e-03	7.904e-01	2.095e-02	7.003e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44914527-44914700	16.37	-234098	F	F	H3k27ac	-0.83749	3.910e-03	4.683e-01	1.337e-02	6.215e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44752165-44752704	18.69	94304	F	F	H3k27ac	0.81909	4.286e-03	1.890e-01	6.578e-03	5.310e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:45020575-45020861	28.70	-173567	F	F	H3k27ac	0.81828	4.286e-03	3.473e-01	1.118e-02	6.215e-01
ENSG00000142197.7	DOPEY2	ENST00000270190.4	chr21:37529080-37529080	+	5.34	chr21:37850516-37850820	60.77	321436	F	F	H3k27ac	0.81403	4.286e-03	6.430e-01	1.900e-02	6.900e-01
ENSG00000159140.12	SON	ENST00000290239.6	chr21:34915350-34915350	+	663.75	chr21:34576102-34576641	14.77	-338709	F	F	H3k27ac	-0.81380	4.286e-03	6.776e-01	1.987e-02	6.968e-01
ENSG00000159140.12	SON	ENST00000290239.6	chr21:34915350-34915350	+	663.75	chr21:34576304-34576843	14.77	-338507	F	F	H3k27ac	-0.82150	4.286e-03	6.772e-01	1.986e-02	6.968e-01
ENSG00000160201.7	U2AF1	ENST00000291552.4	chr21:44527697-44527697	-	450.40	chr21:44884987-44885252	2.93	-357290	F	F	H3k27ac	-0.82738	4.286e-03	7.147e-01	2.079e-02	7.003e-01
ENSG00000160209.12	PDXK	ENST00000291565.4	chr21:45138993-45138993	+	92.62	chr21:44922978-44923355	15.45	-215638	F	F	H3k27ac	0.82732	4.286e-03	4.315e-01	1.349e-02	6.215e-01
ENSG00000159259.4	CHAF1B	ENST00000314103.4	chr21:37757676-37757676	+	57.75	chr21:37850516-37850820	60.77	92840	F	F	H3k27ac	-0.82829	4.286e-03	1.859e-01	6.483e-03	5.303e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44917912-44918451	14.10	-230330	F	F	H3k27ac	-0.82231	4.286e-03	4.610e-01	1.428e-02	6.215e-01
ENSG00000142192.13	APP	ENST00000354192.3	chr21:27543065-27543065	-	476.78	chr21:27539128-27539667	52.78	3398	T	F	H3k27ac	0.81473	4.286e-03	7.331e-03	3.572e-04	2.369e-01
ENSG00000142192.13	APP	ENST00000357903.3	chr21:27543105-27543105	-	446.54	chr21:27539128-27539667	52.78	3438	T	F	H3k27ac	0.81112	4.286e-03	7.411e-03	3.608e-04	2.369e-01
ENSG00000160201.7	U2AF1	ENST00000380276.2	chr21:44527675-44527675	-	622.77	chr21:45010043-45010582	2.39	-482368	F	F	H3k27ac	-0.80825	4.286e-03	9.648e-01	2.683e-02	7.506e-01
ENSG00000160201.7	U2AF1	ENST00000380276.2	chr21:44527675-44527675	-	622.77	chr21:45011428-45011967	4.34	-483753	F	F	H3k27ac	-0.81650	4.286e-03	9.675e-01	2.690e-02	7.506e-01
ENSG00000205581.6	HMGN1	ENST00000380748.1	chr21:40720979-40720979	-	59.65	chr21:40466936-40467475	5.30	253504	F	F	H3k27ac	-0.81862	4.286e-03	5.073e-01	1.551e-02	6.286e-01
ENSG00000159140.12	SON	ENST00000381679.4	chr21:34915371-34915371	+	664.38	chr21:34576102-34576641	14.77	-338730	F	F	H3k27ac	-0.81424	4.286e-03	6.776e-01	1.987e-02	6.968e-01
ENSG00000159140.12	SON	ENST00000381679.4	chr21:34915371-34915371	+	664.38	chr21:34576304-34576843	14.77	-338528	F	F	H3k27ac	-0.82194	4.286e-03	6.772e-01	1.986e-02	6.968e-01
ENSG00000160209.12	PDXK	ENST00000398081.1	chr21:45138975-45138975	+	91.48	chr21:44922978-44923355	15.45	-215620	F	F	H3k27ac	0.82474	4.286e-03	4.315e-01	1.349e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000398085.3	chr21:45139057-45139057	+	93.14	chr21:44922978-44923355	15.45	-215702	F	F	H3k27ac	0.82440	4.286e-03	4.316e-01	1.349e-02	6.215e-01
ENSG00000160201.7	U2AF1	ENST00000398137.1	chr21:44527688-44527688	-	575.88	chr21:44884987-44885252	2.93	-357299	F	F	H3k27ac	-0.81383	4.286e-03	7.147e-01	2.079e-02	7.003e-01
ENSG00000160201.7	U2AF1	ENST00000398137.1	chr21:44527688-44527688	-	575.88	chr21:45011428-45011967	4.34	-483740	F	F	H3k27ac	-0.81010	4.286e-03	9.675e-01	2.689e-02	7.506e-01
ENSG00000142192.13	APP	ENST00000415997.1	chr21:27423348-27423348	-	100.99	chr21:27512409-27512948	5.36	-89061	T	F	H3k27ac	0.82875	4.286e-03	1.786e-01	6.257e-03	5.303e-01
ENSG00000160199.7	PKNOX1	ENST00000432907.2	chr21:44394751-44394751	+	14.76	chr21:44832116-44832655	24.82	437365	F	F	H3k27ac	0.81860	4.286e-03	8.748e-01	2.470e-02	7.417e-01
ENSG00000142192.13	APP	ENST00000452232.2	chr21:27543085-27543085	-	470.48	chr21:27539128-27539667	52.78	3418	T	F	H3k27ac	0.81287	4.286e-03	7.371e-03	3.590e-04	2.369e-01
ENSG00000159079.12	C21orf59	ENST00000458138.1	chr21:33984865-33984865	-	205.82	chr21:33814787-33815326	6.75	169539	F	F	H3k27ac	-0.82566	4.286e-03	3.394e-01	1.096e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000468090.1	chr21:45138978-45138978	+	91.51	chr21:44922978-44923355	15.45	-215623	F	F	H3k27ac	0.82443	4.286e-03	4.315e-01	1.349e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44897803-44898291	47.59	-250503	F	F	H3k27ac	-0.81701	4.286e-03	5.012e-01	1.535e-02	6.286e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44897803-44898295	47.59	-250499	F	F	H3k27ac	-0.81657	4.286e-03	5.012e-01	1.535e-02	6.286e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44917912-44918451	14.10	-230343	F	F	H3k27ac	-0.81021	4.286e-03	4.610e-01	1.428e-02	6.215e-01
ENSG00000142192.13	APP	ENST00000474136.1	chr21:27543064-27543064	-	476.13	chr21:27539128-27539667	52.78	3397	T	F	H3k27ac	0.81544	4.286e-03	7.329e-03	3.571e-04	2.369e-01
ENSG00000160209.12	PDXK	ENST00000476084.1	chr21:45139058-45139058	+	92.77	chr21:44922978-44923355	15.45	-215703	F	F	H3k27ac	0.82175	4.286e-03	4.316e-01	1.349e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44897803-44898291	47.59	-250507	F	F	H3k27ac	-0.81175	4.286e-03	5.013e-01	1.535e-02	6.286e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44897803-44898295	47.59	-250503	F	F	H3k27ac	-0.81158	4.286e-03	5.013e-01	1.535e-02	6.286e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44936643-44937264	18.84	-211534	F	F	H3k27ac	-0.82827	4.286e-03	4.234e-01	1.327e-02	6.215e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:45005897-45006413	23.97	-142385	F	F	H3k27ac	-0.83127	4.286e-03	2.851e-01	9.420e-03	5.808e-01
ENSG00000160201.7	U2AF1	ENST00000486519.1	chr21:44527680-44527680	-	614.66	chr21:45011428-45011967	4.34	-483748	F	F	H3k27ac	-0.81568	4.286e-03	9.675e-01	2.690e-02	7.506e-01
ENSG00000142192.13	APP	ENST00000491395.1	chr21:27423334-27423334	-	100.83	chr21:27512409-27512948	5.36	-89075	T	F	H3k27ac	0.82853	4.286e-03	1.786e-01	6.258e-03	5.303e-01
ENSG00000159140.12	SON	ENST00000492229.1	chr21:34915376-34915376	+	664.29	chr21:34576102-34576641	14.77	-338735	F	F	H3k27ac	-0.81423	4.286e-03	6.776e-01	1.987e-02	6.968e-01
ENSG00000159140.12	SON	ENST00000492229.1	chr21:34915376-34915376	+	664.29	chr21:34576304-34576843	14.77	-338533	F	F	H3k27ac	-0.82193	4.286e-03	6.772e-01	1.986e-02	6.968e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44847035-44847331	36.06	-27	T	T	H3k4me3	0.73877	4.292e-03	1.524e-01	5.451e-03	5.303e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44922978-44923355	15.45	-75970	F	F	H3k27ac	0.80655	4.628e-03	1.523e-01	5.819e-03	5.303e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44936643-44937264	18.84	-89635	F	F	H3k27ac	0.79767	4.628e-03	1.798e-01	6.733e-03	5.383e-01
